선수명,팀명,G,AVG,style_code,style_name
이영빈,LG,25,0.25,1,스피드형
이용규,WO,9,0.207,4,평범형
이우성,HT,49,0.236,4,평범형
이우찬,LG,1,0.0,4,평범형
이원석,WO,3,0.2,4,평범형
이원석,HH,48,0.171,3,선구안형
이유찬,OB,12,0.3,4,평범형
이율예,SK,1,0.0,4,평범형
이인한,LT,3,0.0,4,평범형
이재상,WO,2,0.5,4,평범형
이재원,HH,50,0.203,1,스피드형
이재현,SS,56,0.231,4,평범형
이재희,SS,1,0.0,4,평범형
이정현,KT,1,0.0,4,평범형
이주헌,LG,25,0.229,1,스피드형
이주형,WO,45,0.24,3,선구안형
이지강,LG,1,0.0,4,평범형
이지영,SK,27,0.241,1,스피드형
이진영,HH,46,0.286,4,평범형
이창용,SS,7,0.273,4,평범형
이형종,WO,27,0.18,1,스피드형
이호성,SS,1,0.0,4,평범형
이호준,LT,47,0.238,1,스피드형
임병욱,WO,30,0.231,1,스피드형
임시,키움,0,0.0,4,평범형
임종성,OB,23,0.241,1,스피드형
임종찬,HH,17,0.167,4,평범형
임지열,WO,18,0.256,4,평범형
장두성,LT,51,0.299,2,컨택형
장성우,KT,55,0.229,4,평범형
장승현,OB,4,0.0,4,평범형
장재영,WO,10,0.143,4,평범형
장준원,KT,17,0.222,4,평범형
장진혁,KT,19,0.269,4,평범형
장현식,LG,1,0.0,4,평범형
전다민,OB,13,0.0,4,평범형
전민재,LT,43,0.387,4,평범형
전병우,SS,25,0.2,1,스피드형
전준우,LT,57,0.284,4,평범형
전태현,WO,38,0.221,1,스피드형
정보근,LT,47,0.228,1,스피드형
정수빈,OB,55,0.264,2,컨택형
정우주,HH,1,0.0,4,평범형
정준재,SK,54,0.207,2,컨택형
정철원,LT,1,0.0,4,평범형
정해영,HT,1,0.0,4,평범형
정해원,HT,9,0.067,4,평범형
정현수,LT,1,0.0,4,평범형
정현승,SK,3,0.5,4,평범형
정현창,NC,4,0.0,4,평범형
정훈,LT,39,0.224,1,스피드형
조대현,KT,18,0.222,4,평범형
조동욱,HH,1,0.0,4,평범형
조병현,SK,2,0.0,4,평범형
조세진,LT,6,0.0,4,평범형
조수행,OB,44,0.23,3,선구안형
조형우,SK,37,0.25,1,스피드형
주권,KT,1,0.0,4,평범형
주승우,키움,1,0.0,4,평범형
채은성,HH,57,0.273,4,평범형
채현우,SK,18,0.192,4,평범형
천성호,KT,27,0.2,1,스피드형
천재환,NC,51,0.259,3,선구안형
최동환,KT,1,0.0,4,평범형
최상민,SK,23,0.143,1,스피드형
최성민,KT,22,0.067,1,스피드형
최승민,LG,2,0.0,4,평범형
최원영,LG,49,0.294,1,스피드형
최원준,HT,38,0.195,3,선구안형
최인호,HH,35,0.209,1,스피드형
최재훈,HH,46,0.292,3,선구안형
최정,SK,24,0.22,4,평범형
최정용,HT,4,0.167,4,평범형
최정원,NC,20,0.269,4,평범형
최주환,WO,56,0.292,4,평범형
최준우,SK,45,0.219,3,선구안형
최지훈,SK,56,0.305,2,컨택형
최항,LT,4,0.0,4,평범형
최형우,HT,53,0.341,0,파워형
추재현,OB,21,0.25,1,스피드형
카디네스,WO,53,0.238,4,평범형
케이브,OB,49,0.287,4,평범형
푸이그,WO,40,0.212,3,선구안형
플로리얼,HH,57,0.272,2,컨택형
하재훈,SK,8,0.167,4,평범형
