team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
LG,50106,유영찬,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,61145,이우찬,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,69134,이정용,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,69108,이지강,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,63950,장현식,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,65905,최승민,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.505,0.53,0.5,4
HH,55712,이승현,1.0,4,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0.0,0,4.0,1.0,1.0,0.0,0.5,0.534,0.572,0.5,4
HH,51762,장규현,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0.0,0,2.0,0.0,0.0,0.0,0.5,0.508,0.54,0.5,4
HH,52764,허인서,1.0,2,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2.0,1.0,0,0.0,0,3.0,1.0,1.0,0.0,0.5,0.517,0.551,0.5,4
HH,55703,리베라토,0.414,7,30,29,4,12,2,0,1,17,6,0,0,0,0,1,0,0,8,0,0.586,0.433,1,0.0,5,1.019,0.714,0.0,0.0,0.519,0.533,0.555,0.5,4
HH,53764,문현빈,0.318,77,316,283,35,90,17,1,9,136,40,12,3,3,4,21,2,5,48,1,0.481,0.371,1,80.0,28,0.852,0.275,0.25,15.0,0.667,0.871,0.826,0.721,2
HH,78288,최재훈,0.306,65,181,134,17,41,8,0,0,49,15,1,1,6,4,25,0,12,20,2,0.366,0.446,2,50.0,11,0.812,0.323,0.0,2.0,0.5,0.813,0.895,0.529,3
HH,79192,채은성,0.29,76,295,269,31,78,18,1,12,134,42,0,1,3,0,17,1,6,65,2,0.498,0.346,4,0.0,21,0.844,0.344,0.0,1.0,0.722,0.842,0.767,0.515,2
HH,66657,이진영,0.287,67,241,209,33,60,11,0,7,92,29,1,3,0,4,26,0,2,60,5,0.44,0.365,1,25.0,14,0.805,0.267,1.0,4.0,0.63,0.795,0.778,0.559,2
HH,52704,이상혁,0.286,32,8,7,10,2,1,0,0,3,1,3,4,1,0,0,0,0,2,0,0.429,0.286,0,42.9,0,0.715,0.333,0.0,7.0,0.5,0.628,0.585,0.603,4
HH,62700,하주석,0.279,40,125,111,16,31,7,0,1,41,11,1,1,4,0,7,0,3,33,4,0.369,0.339,0,50.0,9,0.708,0.379,0.2,2.0,0.519,0.666,0.642,0.529,4
HH,55734,플로리얼,0.271,65,285,258,36,70,18,2,8,116,29,13,3,0,2,24,2,1,65,2,0.45,0.333,5,81.3,21,0.783,0.222,0.0,16.0,0.648,0.784,0.739,0.735,2
HH,50707,최인호,0.265,53,118,102,5,27,6,0,1,36,14,1,0,1,1,10,0,4,18,4,0.353,0.35,0,100.0,4,0.703,0.333,0.4,1.0,0.519,0.728,0.732,0.515,3
HH,69737,노시환,0.234,79,340,299,51,70,13,1,15,130,53,10,4,0,2,33,6,6,77,8,0.435,0.321,11,71.4,18,0.756,0.321,0.0,14.0,0.778,0.836,0.786,0.706,0
HH,54795,황영묵,0.234,71,206,184,26,43,11,0,1,57,11,1,3,1,1,18,0,2,28,3,0.31,0.307,5,25.0,10,0.617,0.143,0.375,4.0,0.519,0.802,0.776,0.559,3
HH,65703,이도윤,0.233,63,159,146,17,34,5,3,0,45,24,1,0,5,1,6,0,1,32,2,0.308,0.266,2,100.0,6,0.574,0.277,0.25,1.0,0.5,0.752,0.666,0.515,3
HH,66704,김태연,0.223,68,191,175,19,39,6,0,1,48,9,4,2,3,0,9,0,4,41,5,0.274,0.277,2,66.7,8,0.551,0.132,0.071,6.0,0.519,0.77,0.686,0.588,3
HH,52769,권광민,0.222,6,9,9,1,2,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0.333,0.222,0,0.0,0,0.555,0.0,0.333,0.0,0.5,0.522,0.54,0.5,4
HH,76812,이재원,0.214,66,96,84,1,18,0,1,0,20,6,1,1,3,3,6,0,0,21,2,0.238,0.258,4,50.0,1,0.496,0.174,0.0,2.0,0.5,0.75,0.678,0.529,3
HH,68700,이원석,0.183,64,83,71,28,13,1,0,2,20,11,13,2,0,0,9,0,3,18,3,0.282,0.301,1,86.7,3,0.583,0.24,0.5,15.0,0.537,0.738,0.734,0.721,1
HH,64006,심우준,0.17,40,121,112,13,19,3,1,1,27,10,4,0,5,0,3,0,1,25,0,0.241,0.198,3,100.0,2,0.439,0.25,0.0,4.0,0.519,0.642,0.581,0.559,4
HH,50704,임종찬,0.167,17,35,30,2,5,1,0,1,9,2,2,0,0,0,5,0,0,13,0,0.3,0.286,1,100.0,1,0.586,0.2,0.0,2.0,0.519,0.556,0.574,0.529,4
HH,79608,안치홍,0.155,40,126,116,7,18,3,0,1,24,11,1,0,1,0,9,1,0,30,3,0.207,0.216,1,100.0,3,0.423,0.259,0.375,1.0,0.519,0.638,0.601,0.515,4
HH,69766,유로결,0.125,14,10,8,1,1,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0.125,0.222,0,100.0,0,0.347,0.0,0.0,1.0,0.5,0.546,0.548,0.515,4
HH,53754,김서현,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
HH,50711,김승일,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
HH,66715,김인환,0.0,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.5,0.506,0.519,0.5,4
HH,63765,김종수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
HH,55710,이민재,0.0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.505,0.526,0.5,4
HH,55743,정우주,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
HH,54768,조동욱,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,55530,박찬형,0.5,9,16,14,3,7,0,0,1,10,2,0,1,0,0,2,0,0,2,0,0.714,0.563,2,0.0,2,1.277,0.333,1.0,1.0,0.519,0.55,0.59,0.515,4
LT,55563,박재엽,0.4,7,12,10,2,4,1,0,1,8,3,0,0,0,0,2,0,0,3,0,0.8,0.5,1,0.0,1,1.3,0.333,0.0,0.0,0.519,0.533,0.57,0.5,4
LT,54529,레이예스,0.345,81,363,330,46,114,27,0,9,168,66,4,1,0,6,26,7,1,42,13,0.509,0.388,1,80.0,37,0.897,0.4,0.0,5.0,0.667,0.909,0.876,0.574,2
LT,52568,한태양,0.333,50,56,51,19,17,6,1,0,25,3,2,2,0,0,5,0,0,16,1,0.49,0.393,2,50.0,2,0.883,0.154,0.0,4.0,0.5,0.718,0.71,0.559,2
LT,50500,황성빈,0.324,28,121,111,18,36,3,1,0,41,12,10,2,1,0,7,0,2,14,1,0.369,0.375,2,83.3,12,0.744,0.345,0.0,12.0,0.5,0.631,0.641,0.676,1
LT,68205,전민재,0.323,66,249,226,32,73,12,0,3,94,23,2,1,7,1,13,0,2,43,4,0.416,0.364,12,66.7,22,0.78,0.284,0.0,3.0,0.556,0.81,0.761,0.544,2
LT,68507,장두성,0.299,62,183,157,35,47,3,2,0,54,23,9,3,6,2,15,0,3,36,3,0.344,0.367,2,75.0,14,0.711,0.34,0.0,12.0,0.5,0.778,0.761,0.676,2
LT,69517,고승민,0.299,71,310,274,42,82,15,1,2,105,30,4,1,2,3,31,0,0,45,5,0.383,0.367,4,80.0,24,0.75,0.241,0.0,5.0,0.537,0.836,0.827,0.574,2
LT,52591,윤동희,0.299,53,217,184,34,55,10,0,4,77,29,3,2,1,4,26,1,2,36,7,0.418,0.384,2,60.0,15,0.802,0.279,1.0,5.0,0.574,0.744,0.767,0.574,3
LT,61102,유강남,0.297,63,181,148,24,44,11,0,4,67,21,0,0,2,2,20,0,9,40,6,0.453,0.408,1,0.0,9,0.861,0.234,0.417,0.0,0.574,0.783,0.803,0.5,3
LT,78513,전준우,0.291,80,342,299,37,87,22,1,6,129,48,2,1,3,4,29,1,7,52,8,0.431,0.363,0,66.7,23,0.794,0.33,0.0,3.0,0.611,0.877,0.846,0.544,2
LT,50150,손호영,0.253,53,210,186,18,47,4,0,2,57,22,3,0,5,3,12,0,4,38,9,0.306,0.307,10,100.0,13,0.613,0.35,0.0,3.0,0.537,0.724,0.684,0.544,2
LT,52504,김동혁,0.25,52,81,60,14,15,4,1,0,21,6,10,2,3,0,16,0,2,17,2,0.35,0.423,0,83.3,3,0.773,0.4,0.0,12.0,0.5,0.72,0.815,0.676,1
LT,77564,김민성,0.246,56,164,142,17,35,6,0,2,47,21,0,1,0,1,19,0,2,28,3,0.331,0.341,2,0.0,9,0.672,0.173,0.25,1.0,0.537,0.737,0.751,0.515,3
LT,51551,나승엽,0.242,63,260,219,29,53,9,2,8,90,35,0,0,1,1,37,1,2,40,7,0.411,0.355,5,0.0,11,0.766,0.311,0.333,0.0,0.648,0.776,0.811,0.5,0
LT,54598,이호준,0.235,53,80,68,12,16,3,4,0,27,9,0,0,1,1,7,0,3,18,2,0.397,0.329,6,0.0,4,0.726,0.25,0.0,0.0,0.5,0.71,0.701,0.5,3
LT,60523,정훈,0.225,55,161,151,13,34,10,0,2,50,9,0,0,1,0,8,1,1,36,4,0.331,0.269,1,0.0,6,0.6,0.167,0.143,0.0,0.537,0.715,0.651,0.5,3
LT,68518,정보근,0.218,63,126,110,4,24,4,1,1,33,15,0,0,2,0,13,1,1,28,4,0.3,0.306,2,0.0,3,0.606,0.333,0.0,0.0,0.519,0.746,0.729,0.5,3
LT,51528,손성빈,0.188,18,19,16,3,3,0,0,1,6,3,0,0,1,0,1,0,1,5,1,0.375,0.278,0,0.0,0,0.653,0.143,0.0,0.0,0.519,0.563,0.568,0.5,4
LT,55506,한승현,0.125,11,10,8,1,1,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0.125,0.2,0,0.0,0,0.325,0.0,0.0,0.0,0.5,0.535,0.553,0.5,4
LT,62802,박승욱,0.103,28,33,29,3,3,1,0,0,4,0,1,0,1,0,2,0,1,11,0,0.138,0.188,2,100.0,1,0.326,0.0,0.0,1.0,0.5,0.582,0.554,0.515,4
LT,54567,강성우,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.5,,,0.515,3
LT,63543,구승민,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,76430,김상수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,62528,김원중,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,54503,박준우,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,69594,박진,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,50608,이인한,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,55511,이태경,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.524,0.5,4
LT,68242,정철원,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,54537,정현수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LT,52516,조세진,0.0,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.508,0.5,0.5,4
LT,62884,최항,0.0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.5,0.506,0.519,0.5,4
SS,67449,김성윤,0.347,63,253,213,48,74,17,3,2,103,30,15,3,6,1,32,0,1,31,4,0.484,0.433,0,83.3,21,0.917,0.446,0.4,18.0,0.537,0.816,0.863,0.765,1
SS,69442,김도환,0.333,2,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0.667,0.333,0,0.0,0,1.0,1.0,0.0,0.0,0.5,0.506,0.53,0.5,4
SS,69207,김태근,0.333,11,14,12,2,4,0,0,0,4,0,0,0,0,0,2,0,0,4,0,0.333,0.429,0,0.0,0,0.762,0.0,0.5,0.0,0.5,0.548,0.58,0.5,4
SS,69418,박승규,0.333,26,69,63,12,21,3,0,1,27,4,4,2,0,0,6,0,0,16,2,0.429,0.391,1,66.7,6,0.82,0.25,0.0,6.0,0.519,0.616,0.63,0.588,4
SS,54408,양도근,0.296,66,121,98,16,29,3,0,0,32,6,4,1,5,1,16,0,1,21,3,0.327,0.397,3,80.0,8,0.724,0.111,0.25,5.0,0.5,0.797,0.84,0.574,3
SS,54400,디아즈,0.292,80,344,312,47,91,15,0,27,187,83,1,0,0,4,26,3,2,63,7,0.599,0.346,3,100.0,26,0.945,0.351,1.0,1.0,1.0,0.87,0.81,0.515,0
SS,62234,류지혁,0.287,75,272,230,34,66,9,0,1,78,22,8,2,8,2,24,0,8,44,5,0.339,0.371,2,80.0,18,0.71,0.255,0.333,10.0,0.519,0.846,0.831,0.647,2
SS,74540,강민호,0.276,70,257,228,18,63,14,0,6,95,40,2,2,0,4,23,2,2,36,7,0.417,0.342,1,50.0,13,0.759,0.343,0.333,4.0,0.611,0.817,0.799,0.559,2
