day,time,team1,team1_score,team1_result,team2,team2_score,team2_result,stadium,note
2025.07.06,14:00,한화,,,키움,,,고척,-
2025.07.06,18:00,KT,,,두산,,,잠실,-
2025.07.06,18:00,LG,,,삼성,,,대구,-
2025.07.06,18:00,SSG,,,NC,,,창원,-
2025.07.06,18:00,롯데,,,KIA,,,광주,-
2025.07.08,18:30,키움,,,LG,,,잠실,-
2025.07.08,18:30,KT,,,SSG,,,문학,-
2025.07.08,18:30,두산,,,롯데,,,사직,-
2025.07.08,18:30,삼성,,,NC,,,창원,-
2025.07.08,18:30,KIA,,,한화,,,대전(신),-
2025.07.09,18:30,키움,,,LG,,,잠실,-
2025.07.09,18:30,KT,,,SSG,,,문학,-
2025.07.09,18:30,두산,,,롯데,,,사직,-
2025.07.09,18:30,삼성,,,NC,,,창원,-
2025.07.09,18:30,KIA,,,한화,,,대전(신),-
2025.07.10,18:30,키움,,,LG,,,잠실,-
2025.07.10,18:30,KT,,,SSG,,,문학,-
2025.07.10,18:30,두산,,,롯데,,,사직,-
2025.07.10,18:30,삼성,,,NC,,,창원,-
2025.07.10,18:30,KIA,,,한화,,,대전(신),-
2025.07.17,18:30,롯데,,,LG,,,잠실,-
2025.07.17,18:30,두산,,,SSG,,,문학,-
2025.07.17,18:30,키움,,,삼성,,,대구,-
2025.07.17,18:30,한화,,,KT,,,수원,-
2025.07.17,18:30,NC,,,KIA,,,광주,-
2025.07.18,18:30,롯데,,,LG,,,잠실,-
2025.07.18,18:30,두산,,,SSG,,,문학,-
2025.07.18,18:30,키움,,,삼성,,,대구,-
2025.07.18,18:30,한화,,,KT,,,수원,-
2025.07.18,18:30,NC,,,KIA,,,광주,-
2025.07.19,18:00,롯데,,,LG,,,잠실,-
2025.07.19,18:00,두산,,,SSG,,,문학,-
2025.07.19,18:00,키움,,,삼성,,,대구,-
2025.07.19,18:00,한화,,,KT,,,수원,-
2025.07.19,18:00,NC,,,KIA,,,광주,-
2025.07.20,18:00,롯데,,,LG,,,잠실,-
2025.07.20,18:00,두산,,,SSG,,,문학,-
2025.07.20,18:00,키움,,,삼성,,,대구,-
2025.07.20,18:00,한화,,,KT,,,수원,-
2025.07.20,18:00,NC,,,KIA,,,광주,-
2025.07.22,18:30,한화,,,두산,,,잠실,-
2025.07.22,18:30,SSG,,,삼성,,,대구,-
2025.07.22,18:30,KT,,,NC,,,창원,-
2025.07.22,18:30,LG,,,KIA,,,광주,-
2025.07.22,18:30,롯데,,,키움,,,고척,-
2025.07.23,18:30,한화,,,두산,,,잠실,-
2025.07.23,18:30,SSG,,,삼성,,,대구,-
2025.07.23,18:30,KT,,,NC,,,창원,-
2025.07.23,18:30,LG,,,KIA,,,광주,-
2025.07.23,18:30,롯데,,,키움,,,고척,-
2025.07.24,18:30,한화,,,두산,,,잠실,-
2025.07.24,18:30,SSG,,,삼성,,,대구,-
2025.07.24,18:30,KT,,,NC,,,창원,-
2025.07.24,18:30,LG,,,KIA,,,광주,-
2025.07.24,18:30,롯데,,,키움,,,고척,-
2025.07.25,18:30,LG,,,두산,,,잠실,-
2025.07.25,18:30,KIA,,,롯데,,,사직,-
2025.07.25,18:30,키움,,,NC,,,창원,-
2025.07.25,18:30,삼성,,,KT,,,수원,-
2025.07.25,18:30,SSG,,,한화,,,대전(신),-
2025.07.26,18:00,LG,,,두산,,,잠실,-
2025.07.26,18:00,KIA,,,롯데,,,사직,-
2025.07.26,18:00,키움,,,NC,,,창원,-
2025.07.26,18:00,삼성,,,KT,,,수원,-
2025.07.26,18:00,SSG,,,한화,,,대전(신),-
2025.07.27,18:00,LG,,,두산,,,잠실,-
2025.07.27,18:00,KIA,,,롯데,,,사직,-
2025.07.27,18:00,키움,,,NC,,,창원,-
2025.07.27,18:00,삼성,,,KT,,,수원,-
2025.07.27,18:00,SSG,,,한화,,,대전(신),-
2025.07.29,18:30,KT,,,LG,,,잠실,-
2025.07.29,18:30,키움,,,SSG,,,문학,-
2025.07.29,18:30,NC,,,롯데,,,사직,-
2025.07.29,18:30,두산,,,KIA,,,광주,-
2025.07.29,18:30,삼성,,,한화,,,대전(신),-
2025.07.30,18:30,KT,,,LG,,,잠실,-
2025.07.30,18:30,키움,,,SSG,,,문학,-
2025.07.30,18:30,NC,,,롯데,,,사직,-
2025.07.30,18:30,두산,,,KIA,,,광주,-
2025.07.30,18:30,삼성,,,한화,,,대전(신),-
2025.07.31,18:30,KT,,,LG,,,잠실,-
2025.07.31,18:30,키움,,,SSG,,,문학,-
2025.07.31,18:30,NC,,,롯데,,,사직,-
2025.07.31,18:30,두산,,,KIA,,,광주,-
2025.07.31,18:30,삼성,,,한화,,,대전(신),-
2025.08.01,18:30,SSG,,,두산,,,잠실,-
2025.08.01,18:30,LG,,,삼성,,,대구,-
2025.08.01,18:30,NC,,,KT,,,수원,-
2025.08.01,18:30,한화,,,KIA,,,광주,-
2025.08.01,18:30,롯데,,,키움,,,고척,-
2025.08.02,18:00,SSG,,,두산,,,잠실,-
2025.08.02,18:00,LG,,,삼성,,,대구,-
2025.08.02,18:00,NC,,,KT,,,수원,-
2025.08.02,18:00,한화,,,KIA,,,광주,-
2025.08.02,18:00,롯데,,,키움,,,고척,-
2025.08.03,14:00,롯데,,,키움,,,고척,-
2025.08.03,18:00,SSG,,,두산,,,잠실,-
2025.08.03,18:00,LG,,,삼성,,,대구,-
2025.08.03,18:00,NC,,,KT,,,수원,-
2025.08.03,18:00,한화,,,KIA,,,광주,-
2025.08.05,18:30,두산,,,LG,,,잠실,-
2025.08.05,18:30,삼성,,,SSG,,,문학,-
2025.08.05,18:30,KIA,,,롯데,,,사직,-
2025.08.05,18:30,키움,,,NC,,,창원,-
2025.08.05,18:30,KT,,,한화,,,대전(신),-
2025.08.06,18:30,두산,,,LG,,,잠실,-
2025.08.06,18:30,삼성,,,SSG,,,문학,-
2025.08.06,18:30,KIA,,,롯데,,,사직,-
2025.08.06,18:30,키움,,,NC,,,창원,-
2025.08.06,18:30,KT,,,한화,,,대전(신),-
2025.08.07,18:30,두산,,,LG,,,잠실,-
2025.08.07,18:30,삼성,,,SSG,,,문학,-
2025.08.07,18:30,KIA,,,롯데,,,사직,-
2025.08.07,18:30,키움,,,NC,,,창원,-
2025.08.07,18:30,KT,,,한화,,,대전(신),-
2025.08.08,18:30,한화,,,LG,,,잠실,-
2025.08.08,18:30,SSG,,,롯데,,,사직,-
2025.08.08,18:30,KIA,,,NC,,,창원,-
2025.08.08,18:30,삼성,,,KT,,,수원,-
2025.08.08,18:30,두산,,,키움,,,고척,-
2025.08.09,18:00,한화,,,LG,,,잠실,-
2025.08.09,18:00,SSG,,,롯데,,,사직,-
2025.08.09,18:00,KIA,,,NC,,,창원,-
2025.08.09,18:00,삼성,,,KT,,,수원,-
2025.08.09,18:00,두산,,,키움,,,고척,-
2025.08.10,14:00,두산,,,키움,,,고척,-
2025.08.10,18:00,한화,,,LG,,,잠실,-
2025.08.10,18:00,SSG,,,롯데,,,사직,-
2025.08.10,18:00,KIA,,,NC,,,창원,-
2025.08.10,18:00,삼성,,,KT,,,수원,-
2025.08.12,18:30,NC,,,두산,,,잠실,-
2025.08.12,18:30,키움,,,SSG,,,문학,-
2025.08.12,18:30,KIA,,,삼성,,,대구,-
2025.08.12,18:30,LG,,,KT,,,수원,-
2025.08.12,18:30,롯데,,,한화,,,대전(신),-
2025.08.13,18:30,NC,,,두산,,,잠실,-
2025.08.13,18:30,키움,,,SSG,,,문학,-
2025.08.13,18:30,KIA,,,삼성,,,대구,-
2025.08.13,18:30,LG,,,KT,,,수원,-
2025.08.13,18:30,롯데,,,한화,,,대전(신),-
2025.08.14,18:30,NC,,,두산,,,잠실,-
2025.08.14,18:30,키움,,,SSG,,,문학,-
2025.08.14,18:30,KIA,,,삼성,,,대구,-
2025.08.14,18:30,LG,,,KT,,,수원,-
2025.08.14,18:30,롯데,,,한화,,,대전(신),-
2025.08.15,18:00,KIA,,,두산,,,잠실,-
2025.08.15,18:00,LG,,,SSG,,,문학,-
2025.08.15,18:00,삼성,,,롯데,,,사직,-
2025.08.15,18:00,한화,,,NC,,,창원,-
2025.08.15,18:00,KT,,,키움,,,고척,-
2025.08.16,18:00,KIA,,,두산,,,잠실,-
2025.08.16,18:00,LG,,,SSG,,,문학,-
2025.08.16,18:00,삼성,,,롯데,,,사직,-
2025.08.16,18:00,한화,,,NC,,,창원,-
2025.08.16,18:00,KT,,,키움,,,고척,-
2025.08.17,14:00,KT,,,키움,,,고척,-
2025.08.17,18:00,KIA,,,두산,,,잠실,-
2025.08.17,18:00,LG,,,SSG,,,문학,-
2025.08.17,18:00,삼성,,,롯데,,,사직,-
2025.08.17,18:00,한화,,,NC,,,창원,-
2025.08.19,18:30,롯데,,,LG,,,잠실,-
2025.08.19,18:30,삼성,,,NC,,,창원,-
2025.08.19,18:30,SSG,,,KT,,,수원,-
2025.08.19,18:30,키움,,,KIA,,,광주,-
2025.08.19,18:30,두산,,,한화,,,대전(신),-
2025.08.20,18:30,롯데,,,LG,,,잠실,-
2025.08.20,18:30,삼성,,,NC,,,창원,-
2025.08.20,18:30,SSG,,,KT,,,수원,-
2025.08.20,18:30,키움,,,KIA,,,광주,-
2025.08.20,18:30,두산,,,한화,,,대전(신),-
2025.08.21,18:30,롯데,,,LG,,,잠실,-
2025.08.21,18:30,삼성,,,NC,,,창원,-
2025.08.21,18:30,SSG,,,KT,,,수원,-
2025.08.21,18:30,키움,,,KIA,,,광주,-
2025.08.21,18:30,두산,,,한화,,,대전(신),-
2025.08.22,18:30,KT,,,두산,,,잠실,-
2025.08.22,18:30,키움,,,삼성,,,대구,-
2025.08.22,18:30,롯데,,,NC,,,창원,-
2025.08.22,18:30,LG,,,KIA,,,광주,-
2025.08.22,18:30,SSG,,,한화,,,대전(신),-
2025.08.23,18:00,KT,,,두산,,,잠실,-
2025.08.23,18:00,키움,,,삼성,,,대구,-
2025.08.23,18:00,롯데,,,NC,,,창원,-
2025.08.23,18:00,LG,,,KIA,,,광주,-
2025.08.23,18:00,SSG,,,한화,,,대전(신),-
2025.08.24,18:00,KT,,,두산,,,잠실,-
2025.08.24,18:00,키움,,,삼성,,,대구,-
2025.08.24,18:00,롯데,,,NC,,,창원,-
2025.08.24,18:00,LG,,,KIA,,,광주,-
2025.08.24,18:00,SSG,,,한화,,,대전(신),-
2025.08.26,18:30,삼성,,,두산,,,잠실,-
2025.08.26,18:30,KIA,,,SSG,,,문학,-
2025.08.26,18:30,KT,,,롯데,,,사직,-
2025.08.26,18:30,LG,,,NC,,,창원,-
2025.08.26,18:30,한화,,,키움,,,고척,-
2025.08.27,18:30,삼성,,,두산,,,잠실,-
2025.08.27,18:30,KIA,,,SSG,,,문학,-
2025.08.27,18:30,KT,,,롯데,,,사직,-
2025.08.27,18:30,LG,,,NC,,,창원,-
2025.08.27,18:30,한화,,,키움,,,고척,-
2025.08.28,18:30,삼성,,,두산,,,잠실,-
2025.08.28,18:30,KIA,,,SSG,,,문학,-
2025.08.28,18:30,KT,,,롯데,,,사직,-
2025.08.28,18:30,LG,,,NC,,,창원,-
2025.08.28,18:30,한화,,,키움,,,고척,-
2025.08.29,18:30,키움,,,LG,,,잠실,-
2025.08.29,18:30,NC,,,SSG,,,문학,-
2025.08.29,18:30,두산,,,롯데,,,사직,-
2025.08.29,18:30,KIA,,,KT,,,수원,-
2025.08.29,18:30,삼성,,,한화,,,대전(신),-
2025.08.30,18:00,키움,,,LG,,,잠실,-
2025.08.30,18:00,NC,,,SSG,,,문학,-
2025.08.30,18:00,두산,,,롯데,,,사직,-
2025.08.30,18:00,KIA,,,KT,,,수원,-
2025.08.30,18:00,삼성,,,한화,,,대전(신),-
2025.08.31,18:00,키움,,,LG,,,잠실,-
2025.08.31,18:00,NC,,,SSG,,,문학,-
2025.08.31,18:00,두산,,,롯데,,,사직,-
2025.08.31,18:00,KIA,,,KT,,,수원,-
2025.08.31,18:00,삼성,,,한화,,,대전(신),-
