day,time,team1,team1_score,team1_result,team2,team2_score,team2_result,stadium,note
2025.04.11,18:30,키움,2,패,한화,12,승,대전(신),-
2025.04.12,14:00,두산,0,패,LG,4,승,잠실,-
2025.04.12,14:00,삼성,,,KT,,,수원,우천취소
2025.04.12,17:00,롯데,2,승,NC,0,패,사직,-
2025.04.12,17:00,SSG,,,KIA,,,광주,우천취소
2025.04.12,17:00,키움,6,승,한화,2,패,대전(신),-
2025.04.13,14:00,두산,9,승,LG,2,패,잠실,-
2025.04.13,14:00,롯데,6,패,NC,9,승,사직,-
2025.04.13,14:00,삼성,5,패,KT,6,승,수원,-
2025.04.13,14:00,SSG,5,패,KIA,11,승,광주,-
2025.04.13,14:00,키움,1,패,한화,7,승,대전(신),-
2025.04.15,18:30,삼성,0,패,LG,3,승,잠실,-
2025.04.15,18:30,한화,2,승,SSG,0,패,문학,-
2025.04.15,18:30,키움,6,패,롯데,8,승,사직,-
2025.04.15,18:30,두산,,,NC,,,창원,기타
2025.04.15,18:30,KT,0,패,KIA,1,승,광주,-
2025.04.16,18:30,삼성,2,패,LG,12,승,잠실,-
2025.04.16,18:30,한화,10,승,SSG,4,패,문학,-
2025.04.16,18:30,키움,4,패,롯데,6,승,사직,-
2025.04.16,18:30,두산,,,NC,,,창원,기타
2025.04.16,18:30,KT,3,승,KIA,0,패,광주,-
2025.04.17,18:30,삼성,6,승,LG,3,패,잠실,-
2025.04.17,18:30,한화,4,승,SSG,2,패,문학,-
2025.04.17,18:30,키움,1,패,롯데,7,승,사직,-
2025.04.17,18:30,두산,,,NC,,,창원,기타
2025.04.17,18:30,KT,4,패,KIA,5,승,광주,-
2025.04.18,18:30,KIA,1,패,두산,7,승,잠실,-
2025.04.18,18:30,LG,5,승,SSG,1,패,문학,-
2025.04.18,18:30,롯데,8,승,삼성,1,패,대구,-
2025.04.18,18:30,KT,3,패,키움,4,승,고척,-
2025.04.18,18:30,NC,4,패,한화,12,승,대전(신),-
2025.04.19,14:00,KIA,8,승,두산,4,패,잠실,-
