team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
HT,61353,고종욱,0.296,46,123,115,13,34,2,0,3,45,16,2,1,0,3,5,1,0,17,2,0.391,0.317,0,66.7,7,0.708,0.321,0.438,3,0.53,0.638,0.616,0.524,4
HT,64646,박찬호,0.287,134,595,516,75,148,18,2,5,185,42,27,6,8,6,62,0,3,69,7,0.359,0.363,16,81.8,37,0.722,0.294,0.0,33,0.55,0.943,0.928,0.762,2
HT,65653,김호령,0.283,105,381,332,46,94,26,3,6,144,39,12,1,8,1,34,0,6,94,4,0.434,0.359,6,92.3,26,0.793,0.27,0.0,13,0.56,0.817,0.772,0.603,2
HT,52667,윤도현,0.275,40,160,149,24,41,7,2,6,70,17,2,1,2,0,8,0,1,36,1,0.47,0.316,9,66.7,12,0.786,0.296,0.0,3,0.56,0.614,0.593,0.524,4
HT,67609,박정우,0.274,53,75,62,17,17,2,0,0,19,4,2,1,0,0,10,0,3,12,1,0.306,0.4,0,66.7,2,0.706,0.267,0.0,3,0.5,0.659,0.697,0.524,4
HT,62947,나성범,0.268,82,310,261,30,70,16,0,10,116,36,0,0,0,1,42,1,6,79,6,0.444,0.381,0,0.0,16,0.825,0.257,0.4,0,0.6,0.742,0.756,0.5,3
HT,69636,오선우,0.265,124,474,437,58,116,17,1,18,189,56,0,2,0,0,34,2,3,158,11,0.432,0.323,11,0.0,32,0.755,0.239,0.143,2,0.68,0.854,0.729,0.516,2
HT,67610,김석환,0.265,47,134,117,14,31,1,2,2,42,16,0,0,0,1,14,0,2,55,0,0.359,0.351,0,0.0,7,0.71,0.345,0.625,0,0.52,0.624,0.605,0.5,4
HT,55926,정현창,0.263,16,21,19,4,5,0,0,0,5,0,0,1,0,0,2,0,0,5,0,0.263,0.333,0,0.0,0,0.596,0.0,0.25,1,0.5,0.544,0.554,0.508,4
HT,78122,김태군,0.258,100,274,236,20,61,10,1,5,88,31,0,0,8,3,17,1,10,20,9,0.373,0.331,7,0.0,16,0.704,0.278,0.0,0,0.55,0.807,0.784,0.5,2
HT,63722,한승택,0.238,15,23,21,3,5,1,0,0,6,0,0,0,0,0,1,0,1,7,1,0.286,0.304,0,0.0,1,0.59,0.125,0.333,0,0.5,0.538,0.539,0.5,4
HT,55645,위즈덤,0.236,119,486,424,73,100,20,1,35,227,85,3,0,0,6,52,2,4,142,9,0.535,0.321,13,100.0,25,0.856,0.207,0.2,3,0.85,0.837,0.768,0.524,0
HT,66614,김규성,0.233,133,222,193,30,45,4,0,3,58,16,5,2,5,1,21,0,2,49,1,0.301,0.313,10,71.4,9,0.614,0.204,0.714,7,0.53,0.87,0.813,0.556,3
HT,68646,한준수,0.225,103,276,244,33,55,12,1,7,90,26,0,0,0,3,26,1,3,48,4,0.369,0.304,3,0.0,11,0.673,0.197,0.261,0,0.57,0.791,0.757,0.5,3
HT,69727,변우혁,0.218,47,153,142,11,31,7,0,0,38,17,0,0,0,0,10,0,1,47,3,0.268,0.275,4,0.0,9,0.543,0.311,0.2,0,0.5,0.619,0.583,0.5,4
HT,50657,박민,0.202,71,105,94,11,19,5,0,1,27,6,1,0,3,0,5,0,3,33,1,0.287,0.265,3,100.0,4,0.552,0.211,0.25,1,0.51,0.674,0.599,0.508,4
HT,65610,황대인,0.189,18,57,53,3,10,3,0,1,16,8,0,0,0,1,3,0,0,14,0,0.302,0.228,2,0.0,3,0.53,0.25,0.0,0,0.51,0.543,0.538,0.5,4
HT,65464,최정용,0.167,4,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.167,0.167,0,0.0,0,0.334,0.0,0.0,0,0.5,0.508,0.517,0.5,4
HT,64560,이창진,0.161,37,113,93,11,15,3,0,1,21,9,0,2,1,1,16,0,2,22,2,0.226,0.295,1,0.0,2,0.521,0.143,0.5,2,0.51,0.593,0.611,0.516,4
HT,78168,서건창,0.136,10,26,22,1,3,1,0,1,7,2,1,0,2,0,2,0,0,5,1,0.318,0.208,0,100.0,0,0.526,0.0,0.333,1,0.51,0.522,0.531,0.508,4
HT,55637,박헌,0.083,8,14,12,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0.083,0.214,0,0.0,0,0.297,0.0,0.0,0,0.5,0.517,0.527,0.5,4
HT,55636,박재현,0.081,58,69,62,11,5,1,0,0,6,3,4,3,0,1,6,0,0,26,0,0.097,0.159,3,57.1,0,0.256,0.059,0.143,7,0.5,0.609,0.542,0.556,4
HT,53659,정해원,0.075,24,46,40,5,3,0,0,0,3,0,0,0,0,0,5,0,1,14,4,0.075,0.196,1,0.0,0,0.271,0.091,0.167,0,0.5,0.546,0.544,0.5,4
