team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS,speed,stamina,control,fireball,style
NC,54904,손주환,4.35,52,0,0,6,1,0,7,0.857,224,807,51.667,53,5,0,5,1,2,19,0,37,0,0,29,25,0,1.39,0.264,0,146.0,0.789,0.739,0.954,2
NC,64995,배재환,4.48,70,0,0,2,4,2,24,0.333,271,1117,60.333,48,6,1,3,6,0,37,4,51,6,0,36,30,3,1.41,0.221,0,145.0,0.949,0.838,0.948,1
NC,55912,로건,4.53,32,0,0,7,12,0,0,0.368,770,3037,173.0,180,30,2,18,3,5,67,3,149,6,0,98,87,0,1.43,0.263,16,144.0,0.738,0.668,0.941,2
NC,68902,신민혁,4.77,28,1,0,6,3,0,0,0.667,568,2292,132.0,148,18,2,23,4,5,26,1,84,3,0,76,70,0,1.32,0.281,5,137.0,0.7,0.633,0.895,2
NC,63959,임정호,4.82,31,0,0,1,1,0,4,0.5,88,336,18.667,18,3,1,3,3,1,9,1,15,1,0,13,10,2,1.45,0.254,0,134.0,0.691,0.653,0.876,2
NC,55995,김태훈,5.21,18,0,0,0,0,0,0,0.0,94,356,19.0,17,2,0,4,1,0,16,0,9,5,0,15,11,0,1.74,0.224,0,147.0,0.617,0.557,0.961,3
NC,67962,소이현,5.63,7,0,0,0,0,0,0,0.0,36,140,8.0,5,1,0,0,1,1,7,0,3,2,0,5,5,0,1.5,0.192,0,140.0,0.541,0.53,0.915,3
NC,53973,목지훈,6.05,16,0,0,3,5,0,0,0.375,280,1115,58.0,68,8,3,6,2,3,42,1,45,9,2,42,39,0,1.9,0.298,1,143.0,0.618,0.569,0.935,3
NC,64580,김재열,6.23,22,0,0,0,0,0,2,0.0,111,402,21.667,32,6,1,5,2,2,16,1,16,2,0,16,15,0,2.22,0.356,0,142.0,0.643,0.575,0.928,3
NC,66920,최성영,6.23,35,0,0,2,2,0,4,0.5,228,921,47.667,62,13,2,6,4,5,28,1,33,2,1,33,33,0,1.89,0.33,0,137.0,0.738,0.628,0.895,2
NC,52995,김녹원,6.56,21,0,0,3,4,0,1,0.429,327,1290,70.0,75,13,1,10,5,1,47,0,37,4,0,53,51,0,1.74,0.277,0,145.0,0.648,0.571,0.948,3
NC,68639,하준영,6.75,10,0,0,1,1,0,1,0.5,33,126,5.333,10,4,0,0,0,0,7,1,5,0,0,4,4,0,3.19,0.385,0,142.0,0.579,0.529,0.928,3
NC,52903,조민석,6.92,6,0,0,0,1,0,0,0.0,61,258,13.0,12,2,0,3,0,0,11,0,4,2,0,10,10,0,1.77,0.25,0,139.0,0.541,0.523,0.908,3
NC,52992,이준혁,7.3,25,0,0,1,3,0,0,0.25,170,699,37.0,43,7,1,8,2,1,20,2,30,4,0,33,30,0,1.7,0.305,0,144.0,0.666,0.615,0.941,2
NC,53919,신영우,7.53,8,0,0,1,3,0,0,0.25,68,307,14.333,8,2,0,2,1,2,16,0,19,4,0,13,12,0,1.67,0.174,0,149.0,0.559,0.559,0.974,0
NC,54913,김민규,7.71,7,0,0,0,0,0,1,0.0,23,96,4.667,5,2,0,0,0,1,4,1,2,0,0,4,4,0,1.93,0.278,0,140.0,0.547,0.526,0.915,3
NC,54903,최우석,8.16,12,0,0,0,0,0,0,0.0,75,282,14.333,23,5,0,1,1,1,9,0,15,5,0,16,13,0,2.23,0.359,0,145.0,0.582,0.562,0.948,3
NC,66965,도태훈,9.0,1,0,0,0,0,0,0,0.0,6,16,1.0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,3.0,0.5,0,,0.504,0.516,,3
NC,77211,이용찬,10.57,12,0,0,1,2,0,1,0.333,83,334,15.333,23,4,0,1,0,1,12,1,14,2,0,18,18,1,2.28,0.348,0,141.0,0.59,0.553,0.922,3
NC,50992,김태경,10.64,6,0,0,0,0,0,1,0.0,62,266,11.0,18,3,0,4,2,0,9,1,10,1,0,20,13,0,2.45,0.367,0,137.0,0.549,0.531,0.895,3
NC,67956,김태현,12.0,5,0,0,0,0,0,1,0.0,17,69,3.0,5,1,0,2,0,0,3,0,2,1,0,4,4,0,2.67,0.417,0,138.0,0.537,0.521,0.902,3
NC,54900,임상현,18.0,1,0,0,0,0,0,0,0.0,8,34,1.0,2,1,0,0,0,0,3,0,0,0,0,2,2,0,5.0,0.4,0,143.0,0.509,0.506,0.935,3
OB,55221,김한중,0.0,2,0,0,0,0,0,0,0.0,8,25,2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.125,0,145.0,0.507,0.519,0.948,3
OB,69205,이교훈,1.17,10,0,0,1,0,0,0,1.0,29,125,7.667,4,1,0,0,1,0,4,0,7,2,0,2,1,0,1.04,0.174,0,143.0,0.554,0.569,0.935,3
OB,55239,잭로그,2.81,30,0,0,10,8,0,1,0.556,722,2698,176.0,146,25,4,8,11,2,39,0,156,4,0,66,55,0,1.05,0.224,17,144.0,0.705,0.684,0.941,2
OB,68249,박신지,2.85,54,0,0,2,4,0,5,0.333,264,1008,60.0,55,15,3,3,2,3,29,6,36,8,0,24,19,1,1.4,0.244,0,145.0,0.821,0.717,0.948,2
OB,54263,김택연,3.53,64,0,0,4,5,24,0,0.444,281,1151,66.333,47,6,0,6,4,1,31,2,79,5,0,31,26,9,1.18,0.196,0,149.0,0.889,0.93,0.974,0
OB,67266,박치국,3.75,73,0,0,4,4,2,16,0.5,271,1045,62.333,58,15,0,4,5,1,21,1,57,0,0,35,26,4,1.27,0.245,0,145.0,0.928,0.905,0.948,1
OB,68830,김정우,3.86,18,0,0,0,0,1,1,0.0,103,396,21.0,26,4,0,1,3,2,9,0,13,1,0,12,9,0,1.67,0.302,0,145.0,0.618,0.575,0.948,3
OB,66291,이영하,4.05,73,0,0,4,4,0,14,0.5,299,1136,66.667,63,10,0,4,5,1,39,2,72,7,0,33,30,5,1.53,0.254,0,149.0,0.937,0.908,0.974,0
OB,65639,박정수,4.1,29,0,0,1,0,0,3,1.0,119,418,26.333,31,3,1,1,3,2,8,1,15,1,0,13,12,0,1.48,0.304,0,139.0,0.662,0.619,0.908,2
OB,68220,곽빈,4.2,19,0,0,5,7,0,0,0.417,465,1804,109.333,96,23,3,9,2,6,41,0,107,5,0,55,51,0,1.25,0.232,7,150.0,0.636,0.62,0.98,0
OB,55215,양재훈,4.24,19,0,0,0,0,1,0,0.0,93,380,23.333,19,4,0,3,0,1,8,0,19,0,0,11,11,0,1.16,0.226,0,144.0,0.608,0.61,0.941,3
OB,55268,최민석,4.4,17,0,0,3,3,0,0,0.5,333,1342,77.667,72,15,1,7,3,1,34,1,53,5,1,41,38,0,1.36,0.248,4,142.0,0.619,0.584,0.928,3
OB,51264,최승용,4.41,23,0,0,5,7,0,0,0.417,507,1958,116.333,121,20,4,8,5,3,36,0,71,4,0,60,57,0,1.35,0.265,9,142.0,0.663,0.606,0.928,2
OB,55257,콜어빈,4.48,28,0,0,8,12,0,0,0.4,649,2593,144.667,142,26,3,9,14,8,79,1,128,6,0,80,72,0,1.53,0.268,10,145.0,0.709,0.643,0.948,2
OB,55267,홍민규,4.59,20,0,0,2,1,1,0,0.667,151,571,33.333,37,6,0,4,0,3,15,0,17,4,0,19,17,0,1.56,0.28,0,142.0,0.623,0.577,0.928,3
OB,68200,김민규,4.66,7,0,0,1,1,0,0,0.5,47,199,9.667,9,3,0,1,0,4,6,0,6,0,0,5,5,0,1.55,0.273,0,142.0,0.549,0.537,0.928,3
OB,67263,최원준,4.71,47,0,0,4,7,0,9,0.364,456,1852,107.0,105,17,2,18,4,3,38,2,62,4,0,59,56,2,1.34,0.258,5,141.0,0.802,0.696,0.922,2
OB,50211,제환유,4.96,6,0,0,0,1,0,0,0.0,78,304,16.333,17,1,0,2,1,1,12,1,8,0,0,10,9,0,1.78,0.27,0,144.0,0.54,0.528,0.941,3
OB,67246,김명신,5.4,8,0,0,0,0,0,0,0.0,43,202,8.333,13,3,1,0,0,1,3,0,6,1,0,8,5,0,1.92,0.342,0,142.0,0.564,0.541,0.928,3
OB,50206,최종인,5.4,3,0,0,0,0,0,0,0.0,9,46,1.667,1,0,0,0,0,0,3,0,5,2,0,1,1,0,2.4,0.167,0,144.0,0.525,0.545,0.941,3
OB,61643,홍건희,6.19,20,0,0,2,1,0,0,0.667,83,341,16.0,18,1,0,2,2,0,15,1,15,0,0,13,11,0,2.06,0.273,0,144.0,0.645,0.587,0.941,3
OB,52204,이병헌,6.23,22,0,0,0,0,0,4,0.0,56,216,13.0,11,1,0,1,0,1,10,2,9,0,0,9,9,0,1.62,0.244,0,144.0,0.625,0.591,0.941,3
OB,52206,최지강,6.34,39,0,0,2,5,0,5,0.286,149,582,32.667,41,5,0,3,3,0,13,1,38,3,0,25,23,4,1.65,0.313,0,146.0,0.741,0.735,0.954,2
OB,68269,김호준,6.75,19,0,0,0,1,0,1,0.0,54,218,10.667,14,3,0,2,0,0,7,1,7,1,0,11,8,1,1.97,0.298,0,144.0,0.631,0.569,0.941,3
OB,52202,윤태호,6.75,10,0,0,0,1,0,1,0.0,73,287,17.333,16,6,0,2,2,1,5,0,16,2,0,14,13,0,1.21,0.246,0,148.0,0.558,0.568,0.967,0
OB,72523,고효준,6.86,45,0,0,2,1,0,9,0.667,104,441,21.0,29,2,1,4,2,1,14,1,19,4,0,16,16,3,2.05,0.337,0,144.0,0.819,0.684,0.941,2
OB,53259,최준호,8.44,9,0,0,1,2,0,0,0.333,74,305,16.0,18,5,0,4,0,1,9,0,11,2,0,15,15,0,1.69,0.29,0,144.0,0.56,0.545,0.941,3
OB,53262,김유성,8.83,7,0,0,0,2,0,0,0.0,85,385,17.333,17,2,0,3,0,0,14,0,22,1,0,17,17,0,1.79,0.254,0,147.0,0.554,0.552,0.961,3
HT,54608,김민재,0.0,1,0,0,0,0,0,0,0.0,8,21,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.25,0,143.0,0.502,0.517,0.935,3
HT,50604,유지성,0.0,1,0,0,0,0,0,0,0.0,3,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,141.0,0.501,0.517,0.922,3
HT,54610,성영탁,1.55,45,0,0,3,2,0,7,0.6,198,753,52.333,38,6,0,2,2,1,13,0,30,1,0,11,9,0,0.97,0.209,0,142.0,0.732,0.717,0.928,2
HT,54640,네일,2.25,27,0,0,8,4,0,0,0.667,664,2521,164.333,135,18,1,6,7,2,41,0,152,4,0,46,41,0,1.07,0.225,19,147.0,0.686,0.669,0.961,2
HT,69516,김현수,2.45,18,0,0,0,0,0,0,0.0,86,309,18.333,17,3,1,2,1,1,13,5,11,2,0,5,5,0,1.64,0.243,0,141.0,0.606,0.571,0.922,3
HT,69620,김기훈,3.25,24,0,0,1,1,0,0,0.5,117,464,27.667,25,8,1,2,1,3,10,0,27,2,0,11,10,0,1.27,0.245,0,141.0,0.641,0.647,0.922,3
HT,66609,전상현,3.34,74,0,0,7,5,1,25,0.583,290,1048,70.0,64,15,0,4,1,3,20,3,50,3,0,30,26,7,1.2,0.242,0,142.0,0.894,0.862,0.928,1
HT,55633,올러,3.62,26,1,0,11,7,0,0,0.611,620,2490,149.0,125,25,3,8,5,6,47,0,169,2,0,64,60,0,1.15,0.226,16,148.0,0.688,0.68,0.967,0
HT,50662,정해영,3.79,60,0,0,3,7,27,0,0.3,275,1117,61.667,75,13,0,4,1,2,18,1,72,1,0,30,26,7,1.51,0.299,0,146.0,0.88,0.875,0.954,1
HT,63342,조상우,3.9,72,0,0,6,6,1,28,0.5,271,1113,60.0,64,15,0,5,6,1,27,3,55,2,0,29,26,3,1.52,0.277,0,144.0,0.962,0.865,0.941,1
HT,68619,윤중현,4.35,13,0,0,1,0,0,0,1.0,48,159,10.333,10,4,0,2,1,0,7,2,7,1,0,5,5,0,1.65,0.25,0,141.0,0.569,0.559,0.922,3
HT,67640,유승철,4.5,1,0,0,0,0,0,0,0.0,11,40,2.0,3,0,0,0,0,0,2,0,3,1,0,1,1,0,2.5,0.333,0,140.0,0.505,0.518,0.915,3
HT,55610,김태형,4.56,8,0,0,0,3,0,0,0.0,107,422,23.667,25,4,0,4,3,0,7,0,14,1,1,12,12,0,1.35,0.272,0,146.0,0.553,0.545,0.954,3
HT,65665,이준영,4.76,57,0,0,3,1,0,7,0.75,145,569,34.0,36,10,0,6,1,0,11,2,34,1,0,18,18,1,1.38,0.273,0,141.0,0.828,0.828,0.922,1
HT,69745,김도현,4.81,24,0,0,4,7,0,0,0.364,561,2068,125.333,149,28,4,11,7,7,33,0,71,5,1,79,67,0,1.45,0.296,9,144.0,0.669,0.602,0.941,2
HT,77637,양현종,5.06,30,0,0,7,9,0,0,0.438,677,2497,153.0,171,23,4,12,8,8,57,1,109,10,0,101,86,0,1.49,0.285,11,139.0,0.709,0.638,0.908,2
HT,52641,황동하,5.3,18,0,0,1,2,0,0,0.333,155,576,35.667,38,14,1,4,3,2,10,0,31,0,0,21,21,1,1.35,0.277,0,142.0,0.607,0.605,0.928,3
HT,53613,윤영철,5.58,13,0,0,2,7,0,0,0.222,227,888,50.0,52,7,0,4,1,2,30,0,43,4,0,37,31,0,1.64,0.269,1,138.0,0.59,0.569,0.902,3
HT,50641,장재혁,6.0,3,0,0,0,0,0,0,0.0,13,63,3.0,3,0,0,1,0,0,3,0,2,0,0,2,2,0,2.0,0.3,0,145.0,0.519,0.521,0.948,3
HT,51994,한재승,6.48,36,0,0,1,1,1,1,0.5,161,685,33.333,40,4,0,5,1,2,31,0,35,4,0,29,24,0,2.13,0.317,0,146.0,0.754,0.659,0.954,2
HT,52639,최지민,6.58,66,0,0,2,4,0,9,0.333,253,1042,53.333,46,7,1,5,2,3,51,0,39,4,0,40,39,0,1.82,0.238,0,144.0,0.944,0.728,0.941,2
HT,76225,김건국,6.85,26,0,0,0,3,0,1,0.0,216,841,46.0,59,9,0,11,1,3,17,0,31,3,0,38,35,1,1.65,0.311,0,145.0,0.671,0.611,0.948,2
HT,53615,이도현,6.92,6,0,0,1,1,0,0,0.5,65,242,13.0,17,5,0,1,0,1,8,0,9,1,0,11,10,0,1.92,0.309,0,142.0,0.539,0.532,0.928,3
HT,51648,이의리,7.94,10,0,0,1,4,0,0,0.2,193,784,39.667,41,9,3,6,3,2,31,0,42,1,0,37,35,0,1.82,0.266,2,147.0,0.576,0.56,0.961,3
HT,68928,김시훈,8.06,24,0,0,1,0,0,1,1.0,118,439,25.667,33,6,0,7,0,1,10,1,18,0,0,25,23,0,1.68,0.308,0,139.0,0.644,0.604,0.908,3
HT,55663,이호민,8.59,13,0,0,1,0,0,0,1.0,72,259,14.667,21,5,0,0,2,1,9,1,7,0,0,14,14,0,2.05,0.362,0,138.0,0.58,0.541,0.902,3
HT,60337,김대유,9.72,15,0,0,0,1,0,1,0.0,42,140,8.333,12,1,0,1,0,1,4,0,3,0,0,9,9,0,1.92,0.324,0,136.0,0.586,0.543,0.889,3
HT,62951,이형범,11.7,12,0,0,0,0,0,0,0.0,56,209,10.0,21,6,1,0,1,2,5,1,6,0,0,16,13,0,2.6,0.438,0,141.0,0.585,0.535,0.922,3
HT,54645,김민주,12.0,3,0,0,0,0,0,0,0.0,17,54,3.0,4,1,1,0,0,1,2,0,2,0,0,4,4,0,2.0,0.333,0,138.0,0.517,0.522,0.902,3
HT,62754,임기영,13.0,10,0,0,1,1,0,0,0.5,52,176,9.0,23,4,0,2,1,0,4,0,5,0,0,13,13,0,3.0,0.489,0,135.0,0.567,0.523,0.882,3
HT,53609,곽도규,13.5,9,0,0,0,0,0,3,0.0,22,99,4.0,3,0,0,0,0,0,6,0,5,1,0,6,6,1,2.25,0.214,0,140.0,0.573,0.551,0.915,3
HT,55632,이성원,16.88,4,0,0,0,0,0,0,0.0,19,71,2.667,3,1,0,0,0,0,4,0,3,0,0,7,5,0,2.63,0.25,0,145.0,0.534,0.525,0.948,3
HT,55646,김정엽,18.0,2,0,0,0,0,0,0,0.0,5,21,1.0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1.0,0.0,0,146.0,0.512,0.516,0.954,3
HT,69643,홍원빈,27.0,2,0,0,0,0,0,0,0.0,11,36,1.667,2,0,0,0,0,1,4,0,1,2,0,5,5,0,3.6,0.333,0,147.0,0.513,0.51,0.961,3
KT,50650,최용준,2.0,7,0,0,1,0,0,0,1.0,39,128,9.0,13,1,0,0,0,0,2,1,5,0,0,2,2,0,1.67,0.351,0,143.0,0.535,0.536,0.935,3
KT,73117,우규민,2.44,53,0,0,1,2,0,9,0.333,185,665,44.333,45,6,0,2,4,0,3,1,24,0,0,12,12,1,1.08,0.259,0,135.0,0.781,0.745,0.882,2
KT,69054,이상동,2.49,41,0,0,3,0,0,5,1.0,168,656,43.333,31,6,0,4,2,2,9,1,34,1,0,12,12,1,0.92,0.203,0,144.0,0.719,0.738,0.941,2
KT,55046,박건우,2.7,6,0,0,0,0,0,0,0.0,28,117,6.667,4,0,0,1,0,0,4,0,9,0,0,2,2,0,1.2,0.167,0,140.0,0.535,0.555,0.915,3
KT,55032,패트릭,3.12,15,0,0,3,3,0,2,0.5,267,992,60.667,63,10,2,2,1,0,21,0,45,5,0,26,21,0,1.38,0.259,2,148.0,0.599,0.58,0.967,0
KT,67419,문용익,3.14,20,0,0,1,0,0,0,1.0,121,528,28.667,21,7,0,3,2,1,19,1,31,0,0,11,10,0,1.4,0.212,0,145.0,0.629,0.624,0.948,3
KT,64001,고영표,3.3,29,1,1,11,8,0,0,0.579,685,2525,161.0,170,31,2,10,7,7,30,2,154,4,1,70,59,0,1.24,0.272,20,131.0,0.699,0.678,0.856,2
KT,50030,소형준,3.3,26,0,0,10,7,1,0,0.588,617,2209,147.333,155,24,3,6,6,1,29,1,123,4,0,60,54,0,1.25,0.268,18,147.0,0.674,0.648,0.961,2
KT,52060,박영현,3.39,67,0,0,5,6,35,1,0.455,305,1228,69.0,68,10,1,9,4,1,34,4,77,6,1,31,26,7,1.48,0.258,0,145.0,0.918,0.895,0.948,1
KT,50859,오원석,3.67,25,0,0,11,8,0,0,0.579,565,2187,132.333,130,25,1,10,7,4,52,1,113,5,0,60,54,0,1.38,0.261,12,141.0,0.676,0.635,0.922,2
KT,69041,손동현,3.84,58,0,0,5,0,1,13,1.0,257,938,58.667,66,16,1,6,4,1,12,3,55,4,0,30,25,2,1.33,0.278,0,142.0,0.829,0.83,0.928,1
KT,69047,전용주,3.95,21,0,0,0,1,0,4,0.0,66,257,13.667,18,4,0,0,0,1,7,1,11,3,0,8,6,0,1.83,0.31,0,,0.634,0.594,,3
KT,54354,헤이수스,3.96,32,0,0,9,9,0,1,0.5,712,2716,163.667,173,22,2,17,8,3,44,0,165,7,2,85,72,0,1.33,0.267,15,148.0,0.725,0.695,0.967,0
KT,65060,주권,4.43,34,0,0,0,1,0,0,0.0,176,634,40.667,48,2,0,3,3,1,13,1,19,0,1,23,20,1,1.5,0.302,0,141.0,0.69,0.622,0.922,2
KT,65048,김민수,4.96,58,0,0,4,3,0,11,0.571,230,817,52.667,63,11,2,5,2,4,15,1,36,5,0,31,29,1,1.48,0.303,0,141.0,0.819,0.753,0.922,1
KT,69113,임준형,5.19,10,0,0,0,0,0,0,0.0,42,179,8.667,11,1,0,0,1,0,7,0,6,1,0,7,5,0,2.08,0.333,0,141.0,0.569,0.541,0.922,3
KT,54063,원상현,5.21,52,0,0,0,3,0,14,0.0,259,1009,57.0,56,10,0,8,2,3,35,3,45,4,0,35,33,0,1.6,0.257,0,145.0,0.824,0.727,0.948,2
KT,64768,조이현,5.4,3,0,0,1,2,0,0,0.333,50,173,11.667,17,2,1,2,0,0,0,0,3,0,0,7,7,0,1.46,0.347,0,136.0,0.516,0.521,0.889,3
KT,69032,쿠에바스,5.4,18,0,0,3,10,0,0,0.231,445,1663,98.333,104,14,2,13,4,2,46,0,60,4,1,69,59,0,1.53,0.268,7,144.0,0.63,0.578,0.941,3
KT,65516,배제성,5.67,8,0,0,2,3,0,0,0.4,127,514,27.0,38,5,1,2,1,0,11,1,23,1,0,17,17,0,1.81,0.33,0,144.0,0.557,0.546,0.941,3
KT,68896,이채호,6.17,10,0,0,0,0,0,0,0.0,53,195,11.667,12,3,2,1,1,3,5,1,8,0,0,8,8,0,1.46,0.286,0,141.0,0.558,0.554,0.922,3
KT,79140,최동환,8.68,20,0,0,1,1,0,0,0.5,91,326,18.667,27,5,1,4,0,1,12,2,9,0,0,19,18,0,2.09,0.351,0,140.0,0.622,0.554,0.915,3
KT,55043,김재원,10.38,4,0,0,0,0,0,0,0.0,24,99,4.333,3,1,0,0,0,1,8,0,4,3,0,5,5,0,2.54,0.214,0,143.0,0.529,0.521,0.935,3
KT,55040,김동현,13.5,3,0,0,0,0,0,0,0.0,19,66,3.333,7,0,0,2,0,0,3,0,4,3,0,5,5,0,3.0,0.438,0,144.0,0.519,0.523,0.941,3
KT,51058,한차현,16.2,2,0,0,0,0,0,0,0.0,11,40,1.667,4,0,0,0,0,0,2,0,1,1,0,3,3,0,3.6,0.444,0,145.0,0.514,0.512,0.948,3
KT,67048,이정현,16.62,6,0,0,0,0,0,0,0.0,27,100,4.333,9,3,0,0,0,1,4,0,3,0,0,8,8,0,3.0,0.429,0,144.0,0.546,0.52,0.941,3
KT,68050,강백호,18.0,1,0,0,0,0,0,0,0.0,7,25,1.0,3,1,0,1,0,0,1,0,1,0,0,2,2,0,4.0,0.5,0,,0.506,0.514,,3
KT,53006,강건,24.55,2,0,0,0,1,0,0,0.0,26,104,3.667,7,2,0,1,2,2,7,0,1,0,0,10,10,0,3.82,0.5,0,141.0,0.518,0.508,0.922,3
WO,52330,주승우,2.45,42,0,0,2,2,16,5,0.5,179,713,44.0,35,1,0,7,2,0,17,0,35,1,0,13,12,4,1.18,0.222,0,147.0,0.739,0.722,0.961,2
WO,55348,웰스,3.15,4,0,0,1,1,0,0,0.5,85,329,20.0,18,3,0,0,0,1,6,0,16,0,0,8,7,0,1.2,0.234,2,143.0,0.526,0.533,0.935,3
WO,55322,로젠버그,3.23,13,0,0,4,4,0,0,0.5,320,1265,75.333,63,13,2,5,3,1,25,0,80,2,0,33,27,0,1.17,0.22,6,142.0,0.593,0.592,0.928,3
WO,69045,알칸타라,3.27,19,0,0,8,4,0,0,0.667,492,1796,121.0,125,20,3,11,6,3,10,0,92,3,0,50,44,0,1.12,0.267,14,149.0,0.629,0.612,0.974,0
WO,67116,오석주,3.7,53,0,0,2,1,0,7,0.667,252,1032,58.333,52,6,1,4,3,4,29,0,44,3,0,24,24,1,1.39,0.249,0,138.0,0.828,0.746,0.902,2
WO,55342,메르세데스,4.47,8,0,0,3,3,0,0,0.5,197,764,46.333,54,12,0,5,2,1,9,0,41,2,1,24,23,0,1.36,0.292,2,141.0,0.556,0.555,0.922,3
WO,53301,박윤성,4.53,54,0,0,0,5,1,6,0.0,226,905,51.667,55,12,0,9,3,0,19,0,40,4,1,31,26,3,1.43,0.271,0,140.0,0.83,0.757,0.915,1
WO,67828,김성민,4.68,29,0,0,0,3,0,1,0.0,113,397,25.0,25,3,3,1,2,1,13,1,18,0,0,15,13,1,1.52,0.272,0,135.0,0.662,0.63,0.882,2
WO,64350,하영민,4.99,28,0,0,7,14,0,0,0.333,669,2506,153.333,169,29,3,13,8,2,41,1,134,7,0,90,85,0,1.37,0.278,14,142.0,0.698,0.655,0.928,2
WO,52395,윤석원,5.54,37,0,0,1,1,0,8,0.5,160,623,37.333,41,9,3,3,1,1,12,2,27,0,0,23,23,1,1.42,0.285,0,142.0,0.716,0.674,0.928,2
WO,66018,김선기,5.65,44,0,0,1,7,0,2,0.125,381,1391,78.0,96,17,0,6,3,5,47,1,43,2,0,55,49,0,1.83,0.305,0,141.0,0.787,0.636,0.922,2
WO,69360,조영건,5.68,51,0,0,5,5,8,7,0.5,353,1330,77.667,84,18,1,12,2,4,38,0,47,5,0,51,49,2,1.57,0.275,0,143.0,0.816,0.692,0.935,2
WO,55313,정현우,5.86,18,0,0,3,7,0,0,0.3,384,1496,81.333,92,20,0,8,3,6,48,0,55,4,2,63,53,0,1.72,0.287,3,139.0,0.633,0.575,0.908,3
WO,76118,원종현,6.13,61,0,0,2,4,5,11,0.333,248,931,54.333,68,8,2,5,7,3,18,2,40,6,0,42,37,6,1.58,0.313,0,144.0,0.867,0.766,0.941,1
WO,54319,김윤하,6.14,19,0,0,0,12,0,0,0.0,422,1645,88.0,113,18,2,16,5,4,44,1,52,2,0,76,60,1,1.78,0.309,4,142.0,0.643,0.572,0.928,3
WO,50036,이강준,6.57,29,0,0,0,3,0,2,0.0,119,492,24.667,29,5,0,3,2,0,17,0,26,2,0,22,18,0,1.86,0.296,0,150.0,0.698,0.649,0.98,0
WO,69328,박주성,6.58,18,0,0,2,3,0,1,0.4,235,865,52.0,63,11,2,9,2,4,16,0,26,2,0,40,38,0,1.52,0.3,2,142.0,0.614,0.573,0.928,3
WO,54368,김연주,6.62,20,0,0,1,3,0,0,0.25,250,939,51.667,67,14,2,10,2,5,25,2,28,0,0,40,38,0,1.78,0.316,0,140.0,0.636,0.572,0.915,3
WO,53164,김동규,6.75,9,0,0,0,0,0,0,0.0,49,203,8.0,13,1,0,2,0,0,11,0,10,4,0,11,6,0,3.0,0.342,0,148.0,0.576,0.541,0.967,0
WO,55394,박정훈,7.43,16,0,0,0,1,1,0,0.0,116,450,23.0,24,6,0,1,1,4,20,0,7,3,0,24,19,0,1.91,0.276,0,146.0,0.61,0.536,0.954,3
WO,67365,양지율,8.36,18,0,0,0,2,0,1,0.0,69,268,14.0,18,1,2,3,0,0,7,0,10,1,0,13,13,0,1.79,0.305,0,140.0,0.618,0.578,0.915,3
WO,55396,윤현,8.59,17,0,0,2,1,0,0,0.667,125,514,22.0,31,4,1,2,0,2,23,0,15,5,0,28,21,1,2.45,0.326,0,143.0,0.637,0.546,0.935,3
WO,55301,이준우,8.61,31,0,0,1,4,0,3,0.2,118,469,23.0,37,7,1,6,2,0,12,0,22,0,0,23,22,0,2.13,0.359,0,141.0,0.717,0.637,0.922,2
WO,54362,전준표,8.85,21,0,0,2,2,0,1,0.5,114,400,20.333,33,8,0,2,3,1,19,3,15,3,0,22,20,0,2.56,0.375,0,146.0,0.644,0.557,0.954,3
WO,55300,손힘찬,11.25,4,0,0,0,0,0,0,0.0,22,84,4.0,5,2,0,0,0,0,4,0,4,1,0,5,5,0,2.25,0.294,0,137.0,0.527,0.527,0.895,3
WO,54363,손현기,15.0,2,0,0,0,0,0,0,0.0,18,78,3.0,4,1,0,1,0,0,6,0,1,1,0,5,5,0,3.33,0.364,0,143.0,0.516,0.51,0.935,3
WO,55377,정세영,16.88,4,0,0,0,1,0,0,0.0,22,84,2.667,9,2,0,0,0,0,4,0,2,1,0,6,5,0,4.88,0.5,0,137.0,0.541,0.505,0.895,3
WO,55359,김서준,20.25,4,0,0,0,0,0,0,0.0,34,123,5.333,14,5,0,2,0,1,5,0,4,1,0,12,12,0,3.56,0.5,0,143.0,0.531,0.515,0.935,3
WO,55382,임진묵,24.55,4,0,0,0,0,0,0,0.0,28,108,3.667,10,2,1,0,0,1,5,0,3,1,0,11,10,0,4.09,0.476,0,140.0,0.538,0.511,0.915,3
